Name,council_type,council_type_short,Region(s)
Ashburton District Council,District Council,DC,Canterbury
Auckland Council,Unitary Authority,UA,Auckland
Bay of Plenty Regional Council,Regional Council,RC,BOP
Buller District Council,District Council,DC,West Coast
Carterton District Council,District Council,DC,Wellington
Central Hawke's Bay District Council,District Council,DC,Hawke's Bay
Central Otago District Council,District Council,DC,Otago
Chatham Islands Council,Unitary Council,UC,Chatham Is
Christchurch City Council,City Council,CC,Canterbury
Clutha District Council,District Council,DC,Otago
Dunedin City Council,City Council,CC,Otago
Environment Canterbury Regional Council,Regional Council,RC,Canterbury
Environment Southland Regional Council,Regional Council,RC,Southland
Far North District Council,District Council,DC,Northland
Gisborne District Council,Unitary Council,UC,Gisborne
Gore District Council,District Council,DC,Southland
Greater Wellington Regional Council,Regional Council,RC,Wellington
Grey District Council,District Council,DC,West Coast
Hamilton City Council,City Council,CC,Waikato
Hastings District Council,District Council,DC,Hawke's Bay
Hauraki District Council,District Council,DC,Waikato
Hawke's Bay Regional Council,Regional Council,RC,Hawkes Bay
Horizons Regional Council,Regional Council,RC,Manawatu- Wanganui
Horowhenua District Council,District Council,DC,Manawatu-Wanganui
Hurunui District Council,District Council,DC,Canterbury
Hutt City Council,City Council,CC,Wellington
Invercargill City Council,City Council,CC,Southland
Kaikoura District Council,District Council,DC,Canterbury
Kaipara District Council,District Council,DC,Northland
Kapiti Coast District Council,District Council,DC,Wellington
Kawerau District Council,District Council,DC,Bay of Plenty
Mackenzie District Council,District Council,DC,Canterbury
Manawatu District Council,District Council,DC,Manawatu-Wanganui
Marlborough District Council,Unitary Authority,UA,unitary authority
Masterton District Council,District Council,DC,Wellington
Matamata−Piako District Council,District Council,DC,Waikato
Napier City Council,District Council,DC,Hawke's Bay
Nelson City Council,Unitary Authority,UA,unitary authority
New Plymouth District Council,District Council,DC,Taranaki
Northland Regional Council,Regional Council,RC,Northern
Opotiki District Council,District Council,DC,Bay of Plenty
Otago Regional Council,Regional Council,RC,Otago
Otorohanga District Council,District Council,DC,Waikato
Palmerston North City Council,City Council,CC,Manawatu-Wanganui
Porirua City Council,City Council,CC,Wellington
Queenstown-Lakes District Council,District Council,DC,Otago
Rangitikei District Council,District Council,DC,Manawatu-Wanganui
Rotorua District Council,District Council,DC,Bay of Plenty
Ruapehu District Council,District Council,DC,Manawatu-Wanganui
Selwyn District Council,District Council,DC,Canterbury
South Taranaki District Council,District Council,DC,Taranaki
South Waikato District Council,District Council,DC,Waikato
South Wairarapa District Council,District Council,DC,Wellington
Southland District Council,District Council,DC,Southland
Stratford District Council,District Council,DC,Taranaki
Taranaki Regional Council,Regional Council,RC,Taranaki
Tararua District Council,District Council,DC,Manawatu-Wanganui
Tasman District Council,Unitary Authority,UA,unitary authority
Taupo District Council,District Council,DC,Waikato
Tauranga City Council,City Council,CC,Bay of Plenty
Thames-Coromandel District Council,District Council,DC,Waikato
Timaru District Council,District Council,DC,Canterbury
Upper Hutt City Council,City Council,CC,Wellington
Waikato District Council,District Council,DC,Waikato
Waikato Regional Council,Regional Council,RC,Waikato
Waimakariri District Council,District Council,DC,Canterbury
Waimate District Council,District Council,DC,Canterbury
Waipa District Council,District Council,DC,Waikato
Wairoa District Council,District Council,DC,Hawke's Bay
Waitaki District Council,District Council,DC,Canterbury
Waitomo District Council,District Council,DC,Waikato
Wanganui District Council,District Council,DC,Manawatu-Wanganui
Wellington City Council,City Council,CC,Wellington
West Coast Regional Council,Regional Council,RC,West Coast
Western Bay of Plenty District Council,District Council,DC,Bay of Plenty
Westland District Council,District Council,DC,West Coast
Whakatane District Council,District Council,DC,Bay of Plenty
Whangarei District Council,District Council,DC,Northland
